seed,algo,t_ms,hv_now,bsf_hv
7,MOEA/D,1643.445,0.4359926988271695,0.4359926988271695
7,MOEA/D,1691.415,0.4714095306383378,0.4714095306383378
7,MOEA/D,1739.105,0.6147053394575381,0.6147053394575381
7,MOEA/D,1786.911,0.6808021970679455,0.6808021970679455
7,MOEA/D,1834.241,0.7448577137560191,0.7448577137560191
7,MOEA/D,1896.985,0.7784757164221869,0.7784757164221869
7,MOEA/D,1944.138,0.7700033810181828,0.7784757164221869
7,MOEA/D,1991.785,0.7696467541210436,0.7784757164221869
7,MOEA/D,2037.915,0.7929378096942604,0.7929378096942604
7,MOEA/D,2084.951,0.8068333185006621,0.8068333185006621
7,MOEA/D,2148.409,0.8203628219560022,0.8203628219560022
7,MOEA/D,2196.169,0.820422579791267,0.820422579791267
7,MOEA/D,2244.504,0.8212991322022618,0.8212991322022618
7,MOEA/D,2291.937,0.8326346089259686,0.8326346089259686
7,MOEA/D,2339.346,0.8349439740115844,0.8349439740115844
7,MOEA/D,2386.585,0.8351609633549549,0.8351609633549549
7,MOEA/D,2434.168,0.8390559815062626,0.8390559815062626
7,MOEA/D,2483.839,0.8582260913732164,0.8582260913732164
7,MOEA/D,2549.734,0.8681418920245358,0.8681418920245358
7,MOEA/D,2598.768,0.8753617361021668,0.8753617361021668
7,MOEA/D,2645.724,0.8757395864513486,0.8757395864513486
7,MOEA/D,2691.843,0.8765036981162303,0.8765036981162303
7,MOEA/D,2738.343,0.8779843550452079,0.8779843550452079
7,MOEA/D,2786.606,0.8781989550291134,0.8781989550291134
7,MOEA/D,2848.665,0.8781989550291134,0.8781989550291134
7,MOEA/D,2896.463,0.8778967550071879,0.8781989550291134
7,MOEA/D,2943.948,0.8835361023333181,0.8835361023333181
7,MOEA/D,2989.988,0.8835845857558369,0.8835845857558369
7,MOEA/D,3037.457,0.8836149647348134,0.8836149647348134
7,MOEA/D,3099.945,0.9039831256778349,0.9039831256778349
7,MOEA/D,3147.152,0.9078763660186617,0.9078763660186617
7,MOEA/D,3162.501,0.9078763660186617,0.9078763660186617
8,AW-NSGA-II,49.138,0.0,0.0
8,AW-NSGA-II,98.053,0.0005710692101156981,0.0005710692101156981
8,AW-NSGA-II,147.41,0.009437164504848099,0.009437164504848099
8,AW-NSGA-II,195.894,0.040487270184709725,0.040487270184709725
8,AW-NSGA-II,248.448,0.09481958695283563,0.09481958695283563
8,AW-NSGA-II,297.706,0.14254635909925473,0.14254635909925473
8,AW-NSGA-II,346.879,0.16440413432795076,0.16440413432795076
8,AW-NSGA-II,399.326,0.18468440127636337,0.18468440127636337
8,AW-NSGA-II,448.916,0.202797948377913,0.202797948377913
8,AW-NSGA-II,497.82,0.2135749530012836,0.2135749530012836
8,AW-NSGA-II,549.972,0.22195476764088318,0.22195476764088318
8,AW-NSGA-II,599.288,0.23189487136566195,0.23189487136566195
8,AW-NSGA-II,649.161,0.2507835606655726,0.2507835606655726
8,AW-NSGA-II,698.456,0.2546003986131522,0.2546003986131522
8,AW-NSGA-II,748.32,0.2713716331332987,0.2713716331332987
8,AW-NSGA-II,798.84,0.2888304063658226,0.2888304063658226
8,AW-NSGA-II,819.857,0.2942050611541953,0.2942050611541953
8,MOEA/D,46.461,0.0,0.0
8,MOEA/D,94.633,0.0,0.0
8,MOEA/D,141.595,0.0,0.0
8,MOEA/D,189.421,0.0,0.0
8,MOEA/D,237.316,0.0,0.0
8,MOEA/D,285.031,0.0037454500715455004,0.0037454500715455004
8,MOEA/D,347.254,0.02193267429769309,0.02193267429769309
8,MOEA/D,395.512,0.03370820851187411,0.03370820851187411
8,MOEA/D,443.295,0.04019483909300976,0.04019483909300976
8,MOEA/D,491.384,0.09239707794932012,0.09239707794932012
8,MOEA/D,537.648,0.1346156173072505,0.1346156173072505
8,MOEA/D,584.72,0.17130337044798322,0.17130337044798322
8,MOEA/D,648.327,0.18100672903266068,0.18100672903266068
8,MOEA/D,696.729,0.18594899297077064,0.18594899297077064
8,MOEA/D,744.21,0.24017910341236304,0.24017910341236304
8,MOEA/D,792.046,0.2602376026362166,0.2602376026362166
8,MOEA/D,838.937,0.2729954740036825,0.2729954740036825
8,MOEA/D,886.046,0.31148876845234236,0.31148876845234236
8,MOEA/D,933.657,0.29299607554012264,0.31148876845234236
8,MOEA/D,998.27,0.32437070642021953,0.32437070642021953
8,MOEA/D,1044.927,0.3540739109234792,0.3540739109234792
8,MOEA/D,1093.112,0.4122678597367625,0.4122678597367625
8,MOEA/D,1141.313,0.4420912489099752,0.4420912489099752
8,MOEA/D,1189.582,0.46212299459970096,0.46212299459970096
8,MOEA/D,1237.739,0.4688841190092631,0.4688841190092631
