seed,algo,metric,t_ms,final_hv
50,AW-NSGA-II,t99,845.6568999999945,0.520837333698481
50,MOEA/D,t50,890.2554000005694,0.7242091194310207
50,MOEA/D,t90,1991.2765999997646,0.7242091194310207
50,MOEA/D,t99,2947.903700000097,0.7242091194310207
51,AW-NSGA-II,t50,546.1796999998114,0.5465843664122938
51,AW-NSGA-II,t90,799.2921999993996,0.5465843664122938
51,AW-NSGA-II,t99,849.0216999998665,0.5465843664122938
51,MOEA/D,t50,699.5158999998239,0.6527481049692212
51,MOEA/D,t90,1835.8547999996517,0.6527481049692212
51,MOEA/D,t99,2648.4052999994674,0.6527481049692212
52,AW-NSGA-II,t50,396.1544000003414,0.5157076358762791
52,AW-NSGA-II,t90,747.7000999997472,0.5157076358762791
52,AW-NSGA-II,t99,839.265599999635,0.5157076358762791
52,MOEA/D,t50,748.2988000001569,0.6987403305102052
52,MOEA/D,t90,2090.5445999997028,0.6987403305102052
52,MOEA/D,t99,2394.858800000293,0.6987403305102052
53,AW-NSGA-II,t50,396.5474999995422,0.5119088133384432
53,AW-NSGA-II,t90,749.2076999997153,0.5119088133384432
53,AW-NSGA-II,t99,838.4166999994704,0.5119088133384432
53,MOEA/D,t50,1138.039800000115,0.738408230311101
53,MOEA/D,t90,2248.0241000002934,0.738408230311101
53,MOEA/D,t99,2882.977299999766,0.738408230311101
54,AW-NSGA-II,t50,547.0866999994541,0.43526909002537045
54,AW-NSGA-II,t90,796.4756999999736,0.43526909002537045
54,AW-NSGA-II,t99,836.0618999995495,0.43526909002537045
54,MOEA/D,t50,1135.7735000001412,0.8729800003737294
54,MOEA/D,t90,2542.35830000016,0.8729800003737294
54,MOEA/D,t99,3089.469999999892,0.8729800003737294
55,AW-NSGA-II,t50,397.79360000011366,0.32132782684783623
55,AW-NSGA-II,t90,799.8238999998648,0.32132782684783623
55,AW-NSGA-II,t99,863.8048000002527,0.32132782684783623
55,MOEA/D,t50,1340.5603999999585,0.7080895745106601
55,MOEA/D,t90,2098.8287999998647,0.7080895745106601
55,MOEA/D,t99,3140.613900000062,0.7080895745106601
56,AW-NSGA-II,t50,447.61689999995724,0.6774273822848477
56,AW-NSGA-II,t90,699.7359999995751,0.6774273822848477
56,AW-NSGA-II,t99,841.6790000001129,0.6774273822848477
56,MOEA/D,t50,892.3048999995444,0.7701398162228185
56,MOEA/D,t90,1644.5628999999826,0.7701398162228185
56,MOEA/D,t99,2845.2001999994536,0.7701398162228185
57,AW-NSGA-II,t50,399.1961000001538,0.6310570373530843
57,AW-NSGA-II,t90,799.8477000001003,0.6310570373530843
57,AW-NSGA-II,t99,799.8477000001003,0.6310570373530843
57,MOEA/D,t50,646.7008999998143,0.8137611718751459
57,MOEA/D,t90,1838.190399999803,0.8137611718751459
57,MOEA/D,t99,2794.8335000000952,0.8137611718751459
58,AW-NSGA-II,t50,296.90800000025774,0.3394051927464302
58,AW-NSGA-II,t90,747.9342999995424,0.3394051927464302
58,AW-NSGA-II,t99,840.6543000000966,0.3394051927464302
58,MOEA/D,t50,886.0625999996046,0.7884259434613856
58,MOEA/D,t90,2742.105399999673,0.7884259434613856
58,MOEA/D,t99,3045.5628999998225,0.7884259434613856
59,AW-NSGA-II,t50,498.2313999998951,0.5307236157493338
59,AW-NSGA-II,t90,748.848199999884,0.5307236157493338
59,AW-NSGA-II,t99,838.0213999998887,0.5307236157493338
59,MOEA/D,t50,1645.7029000002876,0.6791881479739612
59,MOEA/D,t90,2644.808699999885,0.6791881479739612
59,MOEA/D,t99,2939.377599999716,0.6791881479739612
60,AW-NSGA-II,t50,345.90579999985493,0.5035423292518975
60,AW-NSGA-II,t90,647.0122999999148,0.5035423292518975
60,AW-NSGA-II,t99,843.1347000005189,0.5035423292518975
60,MOEA/D,t50,1296.878000000106,0.900184271737162
60,MOEA/D,t90,2140.3366999993523,0.900184271737162
