seed,algo,budget_ms,bsf_hv
52,AW-NSGA-II,500,0.3122300246663894
52,AW-NSGA-II,1000,0.5157076358762791
52,AW-NSGA-II,2000,0.5157076358762791
52,MOEA/D,100,0.0
52,MOEA/D,200,0.0001429116995012298
52,MOEA/D,500,0.23184280215599645
52,MOEA/D,1000,0.4107526895158958
52,MOEA/D,2000,0.6070598926004264
53,AW-NSGA-II,100,0.0
53,AW-NSGA-II,200,0.08569898807644533
53,AW-NSGA-II,500,0.3016675733095895
53,AW-NSGA-II,1000,0.5119088133384432
53,AW-NSGA-II,2000,0.5119088133384432
53,MOEA/D,100,0.0
53,MOEA/D,200,0.017491701667040786
53,MOEA/D,500,0.09000401134541894
53,MOEA/D,1000,0.307849202148082
53,MOEA/D,2000,0.6192792037881193
54,AW-NSGA-II,100,0.0
54,AW-NSGA-II,200,0.0
54,AW-NSGA-II,500,0.11163620204001032
54,AW-NSGA-II,1000,0.43526909002537045
54,AW-NSGA-II,2000,0.43526909002537045
54,MOEA/D,100,0.0
54,MOEA/D,200,0.010255374500066935
54,MOEA/D,500,0.13613683660526146
54,MOEA/D,1000,0.3525510690658929
54,MOEA/D,2000,0.6931065453561002
55,AW-NSGA-II,100,0.0
55,AW-NSGA-II,200,0.06790608016420303
55,AW-NSGA-II,500,0.20249541743418523
55,AW-NSGA-II,1000,0.32132782684783623
55,AW-NSGA-II,2000,0.32132782684783623
55,MOEA/D,100,0.0
55,MOEA/D,200,0.0
55,MOEA/D,500,0.03116701050261605
55,MOEA/D,1000,0.20172116733189774
55,MOEA/D,2000,0.5892591945019028
56,AW-NSGA-II,100,0.0
56,AW-NSGA-II,200,0.017117108781553352
56,AW-NSGA-II,500,0.43409129951973124
56,AW-NSGA-II,1000,0.6774273822848477
56,AW-NSGA-II,2000,0.6774273822848477
56,MOEA/D,100,0.0
56,MOEA/D,200,0.024516416471319205
56,MOEA/D,500,0.20230297198253927
56,MOEA/D,1000,0.4154838982743062
56,MOEA/D,2000,0.7216140478548241
57,AW-NSGA-II,100,0.0
57,AW-NSGA-II,200,0.013487150785162466
57,AW-NSGA-II,500,0.4292713266918944
57,AW-NSGA-II,1000,0.6310570373530843
57,AW-NSGA-II,2000,0.6310570373530843
57,MOEA/D,100,0.0
57,MOEA/D,200,0.0
57,MOEA/D,500,0.07743668074166672
57,MOEA/D,1000,0.663615810464979
57,MOEA/D,2000,0.7609218063910783
58,AW-NSGA-II,100,0.000298215605569827
58,AW-NSGA-II,200,0.12440364542244992
58,AW-NSGA-II,500,0.2658148443470185
58,AW-NSGA-II,1000,0.3394051927464302
58,AW-NSGA-II,2000,0.3394051927464302
58,MOEA/D,100,0.0
58,MOEA/D,200,0.0022050418055442104
58,MOEA/D,500,0.1940254354924676
58,MOEA/D,1000,0.4482857132609513
58,MOEA/D,2000,0.639004685784675
59,AW-NSGA-II,100,0.0
59,AW-NSGA-II,200,0.002789948700633296
59,AW-NSGA-II,500,0.2758344068825869
59,AW-NSGA-II,1000,0.5307236157493338
59,AW-NSGA-II,2000,0.5307236157493338
59,MOEA/D,100,0.0
59,MOEA/D,200,0.0
59,MOEA/D,500,0.009691839636696486
59,MOEA/D,1000,0.13362517460921514
59,MOEA/D,2000,0.38444095453176463
60,AW-NSGA-II,100,4.0966142044097656e-05
60,AW-NSGA-II,200,0.0836670011853698
60,AW-NSGA-II,500,0.4033395748572115
60,AW-NSGA-II,1000,0.5035423292518975
60,AW-NSGA-II,2000,0.5035423292518975
60,MOEA/D,100,0.0
60,MOEA/D,200,0.0008651728330319422
60,MOEA/D,500,0.19082715742007436
60,MOEA/D,1000,0.39433207477590204
60,MOEA/D,2000,0.7516160455562755
