config,arm,seed,f1,f2_full,share_low,gini_delta_h,delta_h_low_mean,delta_h_max,h_end_min_lowgrp
W2,full,3,706.0000000000001,4740.411821878076,0.1,0.6454715686564423,-0.06185911354314799,0.12582154852755312,0.3304679274121517
W2,hard,3,557.0,4246.28071044317,0.0,0.7007238152250095,0.0,0.134938838673883,0.3304679274121517
W2,nohealth,3,317.66666666666663,2735.5845121267075,0.4,0.4270880202161318,-0.3155243054114056,0.09196069774816751,0.7401551803365312
W2,full,4,635.3333333333334,4919.254977413422,0.02,0.4586921301635576,-0.09868353593766392,0.22733643956314875,0.31291517997697577
W2,hard,4,424.0,3807.243789210059,0.0,0.5121295847638441,0.0,0.24040004481007715,0.31291517997697577
W2,nohealth,4,388.0,2929.79880039294,0.26,0.379667865523154,-0.3715101183919342,0.22380086018833345,0.762878051551664
W2,full,5,711.3333333333335,5755.951337620234,0.16,0.34698190097905535,-0.24066947121360474,0.20689211456627576,0.3974786887810742
W2,hard,5,591.3333333333334,5693.935759587056,0.0,0.6207530554567993,0.0,0.22282854688930354,0.3974786887810742
W2,nohealth,5,410.0,3293.77089786066,0.58,0.3904492258635448,-0.28737536839588784,0.155311149234869,0.717525378486086
W2,full,6,763.3333333333334,5717.876213953846,0.36,0.3812726387660845,-0.18356192048543388,0.23561992747295013,0.3686223122449249
W2,hard,6,962.6666666666669,10144.016833512,0.0,0.7784446765719464,0.0,0.2437811039272395,0.3686223122449249
W2,nohealth,6,412.0,3162.080899707155,0.68,0.18253551831565762,-0.2861116152390761,0.1931103378386172,0.7382704427496068
W2,full,7,336.66666666666663,3104.2853521440247,0.66,0.22105430243317037,-0.33171245355168794,0.2444098287471499,0.7501729879047601
W2,hard,7,954.6666666666666,10136.806078288591,0.0,0.7280919530325782,0.0,0.2867849305863964,0.305368315519731
W2,nohealth,7,354.3333333333333,2805.976364064776,0.72,0.23582458463841482,-0.32704891102621575,0.21226288680775707,0.7381908354951766
W2,full,8,527.3333333333334,4683.8980579448,0.02,0.43485681476991433,-0.06575085086521593,0.22547239808396446,0.35376950294304554
W2,hard,8,445.0,3945.3964714189024,0.0,0.4666125503816769,0.0,0.2103832842438521,0.35376950294304554
W2,nohealth,8,299.66666666666663,2665.001345327475,0.32,0.36870158707250966,-0.2841548008488521,0.19647825654642526,0.7493917658316943
W2,full,9,627.6666666666666,4726.508875820385,0.02,0.6273067594269646,-0.07183572044853818,0.088291097445104,0.3774380405289428
W2,hard,9,479.66666666666663,3841.6459983103555,0.0,0.6280290889808453,0.0,0.16576498202838075,0.3774380405289428
W2,nohealth,9,307.0,2927.599904920984,0.28,0.4743189210163081,-0.30555942180471024,0.12636902988800425,0.7658451960565851
W2,full,10,639.6666666666667,4921.276238375812,0.3,0.48313933834033884,-0.1904067315340731,0.2505499644481677,0.38577932552373867
W2,hard,10,610.0,6279.470106713014,0.0,0.7572905565396748,0.0,0.2545242462500771,0.3691009917952615
W2,nohealth,10,337.0,2854.4872346888433,0.6,0.3874038891790179,-0.29405824034533207,0.12568892563086298,0.7425761795225054
W2,full,11,326.6666666666667,2953.8086748614023,0.6,0.32537484979107734,-0.2936340171626069,0.1861446637088543,0.741519218604334
W2,hard,11,742.6666666666667,7356.438878034201,0.0,0.7044907345406417,0.0,0.2339519275504225,0.38321828583424916
W2,nohealth,11,371.3333333333333,3018.1203642155606,0.6,0.351727165941355,-0.27951997537083756,0.1701973795199685,0.7195403107188588
W2,full,12,722.6666666666666,6217.618736539185,0.16,0.59027158154797,-0.18685191223401412,0.09920507023068836,0.3556335536421309
W2,hard,12,690.0,7407.829632706784,0.0,0.712734690342921,0.0,0.10468949127240068,0.3556335536421309
W2,nohealth,12,293.6666666666667,3113.533784604438,0.62,0.3281771613574953,-0.3555751467162526,0.052301002615999015,0.7361658347517992
W2,full,13,722.3333333333334,4990.799233300368,0.08,0.48444040550788214,-0.15155059734864346,0.24134505169342835,0.3326532858142075
W2,hard,13,494.33333333333337,4801.58650497956,0.0,0.5830168371449578,0.0,0.25006524619036097,0.3326532858142075
