config,seed,f1,f2,f3,f4,hv,delta_h_mean,delta_h_max,wall_s
beta_lo,2,304.0,2515.4526918122924,1282.6666666666667,0.0,0.39685798781435444,0.058698104118954916,0.20538729706767012,0.783
beta_lo,3,299.3333333333333,2246.331450819547,1348.8333333333333,0.0,0.5857491138925253,0.07816030812473802,0.21862261459995547,0.748
beta_lo,4,295.66666666666663,2654.8724703192206,1331.1666666666665,0.0,0.6550730562659335,0.10726519538235144,0.20596109210179858,0.749
beta_lo,5,317.0,2522.315715595359,1413.5000000000002,0.0,0.5942450928697675,0.08808764528792837,0.2036421293686932,0.794
beta_lo,6,347.3333333333333,2377.222465361468,1347.0,0.0,0.6154382069267241,0.05867944170435009,0.18108102246215096,0.758
beta_lo,7,302.3333333333333,2334.6928498747798,1336.3333333333333,0.0,0.6384119449443323,0.08344067466405838,0.20977470188764902,0.769
beta_lo,8,342.0,2875.5171978989983,1390.5,0.0,0.6448728200534524,0.04091753474923239,0.1520427011112906,0.773
beta_lo,9,313.3333333333333,2508.243806401605,1334.0,0.0,0.5425872711802936,0.06411082954547577,0.16755443345481336,0.791
beta_lo,10,288.6666666666667,2248.3005000506223,1172.3333333333335,0.0,0.42309324937144327,0.07712067928014568,0.1787802917743011,0.744
beta_lo,11,447.66666666666674,2611.8363890681458,1329.5000000000002,0.0,0.6103717183965888,0.06415520973539425,0.176084777554687,0.772
beta_lo,12,302.6666666666667,2612.2467966819136,1372.0,0.0,0.6858503781999499,0.026231130881746955,0.15692164025843036,0.775
beta_lo,13,355.6666666666667,2413.202121599181,1276.6666666666667,0.0,0.5887964379451825,0.04788184414470896,0.14016308274129863,0.767
beta_lo,14,275.66666666666663,2172.121681647974,1264.8333333333335,0.0,0.6049307748020302,0.062043987626431554,0.19024501147682904,0.755
beta_lo,15,345.33333333333337,2409.2763556006435,1289.3333333333335,0.0,0.7694826307232776,0.08652422083076146,0.2135535173713704,0.759
