seed,variant,f1,f2,f3,f4,hv,hv_sub,front_size,evals,wall_s,delta_h_mean,delta_h_max,gini_delta_h,T_end_max,cycles_max
13,Full,307.6666666666667,2435.7108581965877,1288.1666666666665,0.0,0.4786221511441364,0.711539428350406,28,20000,4.589,0.06945133615477427,0.18452312183162634,0.4770869147368366,87.25813913894143,0.8200000000000006
13,-health,366.3333333333333,2158.3951910785795,1288.9999999999998,0.0,0.7323375123990084,0.7073253425518846,56,20000,0.8274692000013602,0.0709070410642156,0.22441921110505325,0.47591955089899796,85.70486541306332,1.0040000000000007
13,-adaptW,315.0,2217.033990794706,1366.3333333333337,0.0,0.18988184917284415,0.2538195530230173,67,20000,0.827571200003149,0.07906679726847003,0.19655696614997198,0.3239746193494353,82.0961662098848,0.8700000000000007
13,-impAstar,307.6666666666667,2435.7108581965877,1288.1666666666665,0.0,0.4786221511441364,0.711539428350406,28,20000,0.8363476000013179,0.06945133615477427,0.18452312183162634,0.4770869147368366,87.25813913894143,0.8200000000000006
13,-closedLoop,307.6666666666667,2435.7108581965877,1288.1666666666665,0.0,0.4786221511441364,0.711539428350406,28,20000,4.589,0.06945133615477427,0.18452312183162634,0.4770869147368366,87.25813913894143,0.8200000000000006
13,hard-only,366.3333333333333,2158.3951910785795,1288.9999999999998,0.0,0.7323375123990084,0.7073253425518846,56,20000,0.8256365999986883,0.0709070410642156,0.22441921110505325,0.47591955089899796,85.70486541306332,1.0040000000000007
13,GA-SA-multiSoH,284.3333333333333,2291.088596816873,1278.5000000000002,0.0,0.22248617637286008,0.35060818289950574,1,20000,7.187651699998241,0.07674168228472994,0.19751328459347872,0.3469253600450042,82.23414682129362,0.7780000000000006
14,Full,275.66666666666663,2188.817217933911,1305.5,0.0,0.29336938698790144,0.5665575308670762,33,20000,4.301,0.09120722246921571,0.22494429069230315,0.3686867765692463,82.47895891236358,0.7520000000000006
14,-health,299.0,1698.7333698738644,1309.333333333333,0.0,0.5806987494331296,0.5593044244629957,56,20000,0.8220978000026662,0.08783992090797547,0.23278527309417973,0.4144469445896972,81.99757146931853,0.8220000000000006
14,-adaptW,291.3333333333333,2078.4584058948253,1275.1666666666665,0.0,0.15168897743206153,0.29294308242599487,66,20000,0.8398202999997011,0.08773618918434559,0.232872720803729,0.37947036722864635,83.28257641642296,0.7840000000000006
14,-impAstar,275.66666666666663,2188.817217933911,1305.5,0.0,0.29336938698790144,0.5665575308670762,33,20000,0.8435312999972666,0.09120722246921571,0.22494429069230315,0.3686867765692463,82.47895891236358,0.7520000000000006
14,-closedLoop,275.66666666666663,2188.817217933911,1305.5,0.0,0.29336938698790144,0.5665575308670762,33,20000,4.301,0.09120722246921571,0.22494429069230315,0.3686867765692463,82.47895891236358,0.7520000000000006
14,hard-only,299.0,1698.7333698738644,1309.333333333333,0.0,0.5806987494331296,0.5593044244629957,56,20000,0.8200914000008197,0.08783992090797547,0.23278527309417973,0.4144469445896972,81.99757146931853,0.8220000000000006
14,GA-SA-multiSoH,280.0,1951.4174086864425,1246.6666666666667,0.0,0.4521127480016223,0.8731241006816136,1,20000,7.102124500001082,0.08615751227737808,0.2466188507862227,0.3629104944516568,82.10866842159497,0.7500000000000006
15,Full,364.99999999999994,2295.710583848249,1286.5000000000002,0.0,0.34247399121840555,0.42452828014130733,53,20000,4.513,0.11215369507097717,0.2608216627185802,0.3111473853920448,85.7448256822092,0.9900000000000008
15,-health,286.66666666666663,2036.3821202064662,1333.5,0.0,0.3997959698905921,0.6046940218160879,50,20000,0.8139570999992429,0.11883167705809691,0.22499447379831228,0.3169940692034636,81.29628457436257,0.7920000000000006
15,-adaptW,273.66666666666663,2018.41806569233,1291.8333333333335,0.0,0.4337786604179482,0.5570727221734147,27,20000,0.8237360999992234,0.11618431315114082,0.23040794108970575,0.3456563936760477,81.57677417335444,0.7460000000000006
15,-impAstar,364.99999999999994,2295.710583848249,1286.5000000000002,0.0,0.34247399121840555,0.42452828014130733,53,20000,0.8383259000001999,0.11215369507097717,0.2608216627185802,0.3111473853920448,85.7448256822092,0.9900000000000008
15,-closedLoop,364.99999999999994,2295.710583848249,1286.5000000000002,0.0,0.34247399121840555,0.42452828014130733,53,20000,4.513,0.11215369507097717,0.2608216627185802,0.3111473853920448,85.7448256822092,0.9900000000000008
15,hard-only,286.66666666666663,2036.3821202064662,1333.5,0.0,0.3997959698905921,0.6046940218160879,50,20000,0.8262477999996918,0.11883167705809691,0.22499447379831228,0.3169940692034636,81.29628457436257,0.7920000000000006
15,GA-SA-multiSoH,280.66666666666663,2086.7952436013925,1256.666666666667,0.0,0.44266173815588283,0.6046220453050498,1,20000,7.17998770000122,0.11540469432773999,0.2434511239378132,0.2792519689370627,84.36240537207973,0.7640000000000006
16,Full,299.3333333333333,2332.364979877022,1368.3333333333335,0.0,0.43880333194929433,0.6252482753985168,64,20000,5.205,0.09400648504610364,0.2644983263037317,0.47072894169856494,85.78081289942703,0.8380000000000006
