seed,variant,row,f1,f2,f3,f4,knee
2,-adaptW,5,312.0,2210.4408798841496,1303.1666666666667,0.0,0
2,-adaptW,6,290.33333333333337,2272.187398176443,1315.0,0.0,0
2,-adaptW,7,291.3333333333333,2254.2059803157395,1312.5000000000002,0.0,0
2,-adaptW,8,296.3333333333333,2205.9417317360017,1307.0,0.0,0
2,-adaptW,9,291.3333333333333,2251.8951123531665,1314.8333333333335,0.0,0
2,-adaptW,10,300.3333333333333,2184.276324328594,1312.666666666667,0.0,0
2,-adaptW,11,296.3333333333333,2212.075226850387,1303.0,0.0,0
2,-adaptW,12,293.6666666666667,2171.6472433381214,1315.5,0.0,0
2,-adaptW,13,288.3333333333333,2225.5720186461267,1317.5000000000002,0.0,0
2,-adaptW,14,291.3333333333333,2254.2059803157395,1312.5000000000002,0.0,0
2,-adaptW,15,326.0,2145.8242050022186,1357.0,0.0,1
2,-adaptW,16,326.6666666666667,2247.50912312834,1290.0000000000002,0.0,0
2,-adaptW,17,300.3333333333333,2195.5207303993957,1307.6666666666667,0.0,0
2,-adaptW,18,293.6666666666667,2170.711910730067,1322.0000000000002,0.0,0
2,-adaptW,19,293.6666666666667,2231.0260013198695,1309.8333333333335,0.0,0
2,-adaptW,20,300.3333333333333,2184.276324328594,1312.666666666667,0.0,0
2,-adaptW,21,288.3333333333333,2225.5720186461267,1317.5000000000002,0.0,0
2,-adaptW,22,304.0,2210.8354390576023,1301.8333333333335,0.0,0
2,-adaptW,23,293.6666666666667,2231.0260013198695,1309.8333333333335,0.0,0
2,-adaptW,24,293.0,2268.957153627589,1310.666666666667,0.0,0
2,-adaptW,25,326.0,2151.1562050022185,1351.0000000000002,0.0,0
2,-adaptW,26,288.3333333333333,2225.5720186461267,1317.5000000000002,0.0,0
2,-adaptW,27,300.3333333333333,2184.276324328594,1312.666666666667,0.0,0
2,-adaptW,28,323.0,2170.589169637392,1331.6666666666667,0.0,0
2,-adaptW,29,295.3333333333333,2242.4411393271716,1294.1666666666667,0.0,0
2,-adaptW,30,300.3333333333333,2156.260174267107,1333.3333333333335,0.0,0
2,-adaptW,31,296.3333333333333,2194.8764292485853,1312.3333333333333,0.0,0
2,-adaptW,32,293.0,2268.957153627589,1310.666666666667,0.0,0
2,-adaptW,33,340.3333333333333,2237.7773249944153,1296.5000000000002,0.0,0
2,-adaptW,34,293.0,2289.137709943396,1310.1666666666667,0.0,0
2,-adaptW,35,295.66666666666663,2207.801808858426,1313.8333333333333,0.0,0
2,-adaptW,36,291.66666666666663,2208.7610289799554,1311.8333333333335,0.0,0
2,-adaptW,37,295.66666666666663,2222.3927419827965,1304.1666666666667,0.0,0
2,-impAstar,0,320.6666666666667,2337.4580902787015,1285.3333333333335,0.0,0
2,-impAstar,1,300.66666666666663,2146.9834011537077,1340.166666666667,0.0,0
2,-impAstar,2,323.3333333333333,2243.728025594883,1288.1666666666665,0.0,0
2,-impAstar,3,313.3333333333333,2107.804523172583,1340.9999999999998,0.0,0
2,-impAstar,4,297.3333333333333,2169.02971225194,1318.0000000000002,0.0,0
2,-impAstar,5,320.6666666666667,2337.4580902787015,1285.3333333333335,0.0,0
2,-impAstar,6,301.0,2142.219129678685,1321.8333333333333,0.0,0
2,-impAstar,7,292.66666666666663,2168.0090743114993,1327.1666666666667,0.0,0
2,-impAstar,8,311.6666666666667,2179.1291159822194,1314.6666666666667,0.0,0
2,-impAstar,9,320.6666666666667,2380.0411273157383,1284.0,0.0,1
2,-impAstar,10,297.3333333333333,2169.02971225194,1318.0000000000002,0.0,0
2,-impAstar,11,288.6666666666667,2183.3665062786436,1319.333333333333,0.0,0
2,-impAstar,12,313.3333333333333,2109.221660079919,1338.3333333333333,0.0,0
2,-impAstar,13,300.66666666666663,2179.27659191349,1312.8333333333335,0.0,0
2,-impAstar,14,295.6666666666667,2170.165678521704,1325.6666666666665,0.0,0
2,-impAstar,15,313.3333333333333,2110.9632984873397,1335.6666666666665,0.0,0
2,-impAstar,16,300.66666666666663,2133.888155701313,1348.0,0.0,0
2,-impAstar,17,301.0,2130.2723194476716,1330.6666666666667,0.0,0
2,-impAstar,18,300.66666666666663,2133.888155701313,1348.0,0.0,0
2,-impAstar,19,301.0,2142.219129678685,1321.8333333333333,0.0,0
2,-impAstar,20,326.66666666666663,2184.412118207342,1308.5000000000002,0.0,0
2,-impAstar,21,301.0,2142.219129678685,1321.8333333333333,0.0,0
2,-impAstar,22,336.33333333333337,2119.6657049017545,1309.6666666666667,0.0,0
2,-impAstar,23,318.0,2168.747845347882,1311.8333333333335,0.0,0
2,-impAstar,24,313.3333333333333,2110.9632984873397,1335.6666666666665,0.0,0
2,-impAstar,25,301.0,2135.691706179367,1329.6666666666665,0.0,0
2,-impAstar,26,294.6666666666667,2177.0850005100538,1325.0,0.0,0
2,-impAstar,27,318.0,2168.747845347882,1311.8333333333335,0.0,0
2,-impAstar,28,336.33333333333337,2119.6657049017545,1309.6666666666667,0.0,0
2,-impAstar,29,296.66666666666663,2145.980130913358,1350.8333333333335,0.0,0
2,-impAstar,30,301.0,2142.219129678685,1321.8333333333333,0.0,0
2,-impAstar,31,309.6666666666667,2089.9095050748833,1342.0,0.0,0
2,-impAstar,32,323.3333333333333,2130.194097653409,1327.0000000000002,0.0,0
2,-impAstar,33,288.6666666666667,2184.4621553514353,1288.6666666666665,0.0,0
2,-closedLoop,0,320.6666666666667,2337.4580902787015,1285.3333333333335,0.0,0
2,-closedLoop,1,300.66666666666663,2146.9834011537077,1340.166666666667,0.0,0
2,-closedLoop,2,323.3333333333333,2243.728025594883,1288.1666666666665,0.0,0
2,-closedLoop,3,313.3333333333333,2107.804523172583,1340.9999999999998,0.0,0
2,-closedLoop,4,297.3333333333333,2169.02971225194,1318.0000000000002,0.0,0
