arm,lam,seed,delta_h_mean,delta_h_max,gini_delta_h,delta_h_low_mean,delta_h_high_mean,h_end_min_lowgrp,share_low
full,1.0,26,-0.0370708252083166,0.22963297300203867,0.3365018995160993,-0.22629651559825578,0.15215486518162258,0.3074937805257015,0.26
hard,1.0,26,0.08518320188179333,0.27123906503265616,0.6620934535378029,0.0,0.17036640376358667,0.3074937805257015,0.0
nohealth,1.0,26,-0.10486445082583284,0.18701082747153053,0.3295419459095077,-0.30400606076996045,0.0942771591182947,0.7243959511323763,0.52
full,1.0,27,-0.10485291546557814,0.18536928660453555,0.3166035108950074,-0.305849825023683,0.09614399409252676,0.7318273222641439,0.48
hard,1.0,27,0.06749897718032621,0.21713857208430698,0.6673999999919085,0.0,0.13499795436065243,0.4267015788733378,0.0
nohealth,1.0,27,-0.1072046269307588,0.14312660636453556,0.31831240601646993,-0.2976079647810879,0.08319871091957028,0.7271811829983841,0.46
full,1.0,28,-0.019906250084897742,0.2468334642012462,0.4250521195618857,-0.18491669397583033,0.14510419380603484,0.34964960671307627,0.12
hard,1.0,28,0.07983657360762811,0.2642657666110022,0.6478165656035786,0.0,0.15967314721525622,0.34964960671307627,0.0
nohealth,1.0,28,-0.09465042220281777,0.21365445230576496,0.31999323963550963,-0.30282035323273215,0.11351950882709658,0.7371557461598192,0.46
full,1.0,29,-0.02064809111610778,0.27714718481920875,0.4997358958953413,-0.1503090229653749,0.10901284073315934,0.3368144063294138,0.2
hard,1.0,29,0.06993029210694987,0.2785810168201298,0.6509218914593944,0.0,0.13986058421389974,0.3368144063294138,0.0
nohealth,1.0,29,-0.10952613367742234,0.23936532918413922,0.3428489434341848,-0.3002689008498683,0.08121663349502359,0.7227008396271309,0.52
full,1.0,30,-0.007973143548958306,0.27038929618872476,0.4668038524266973,-0.14258435454056217,0.12663806744264555,0.34748439816501486,0.18
hard,1.0,30,0.0704685307028296,0.2721652640254155,0.6921727666718667,0.0,0.1409370614056592,0.34748439816501486,0.0
nohealth,1.0,30,-0.1063167123200984,0.21879496977751345,0.37175373308601123,-0.2852374152863094,0.0726039906461126,0.7158956618246247,0.56
full,2.0,1,-0.11865904262603637,0.1453319313496758,0.4398928876774979,-0.2768182118234192,0.039500126571346474,0.7157189108297995,0.48
hard,2.0,1,0.04993286061037182,0.19384069018155659,0.6199541186173074,0.0,0.09986572122074364,0.35233843751553295,0.0
nohealth,2.0,1,-0.11709957480248723,0.15620681150933702,0.45026807238966193,-0.2800454382645666,0.04584628865959217,0.72526249768817,0.5
full,2.0,2,-0.12245842511244032,0.18737688965052302,0.32095614695251307,-0.3426334173063828,0.09771656708150211,0.7242156223704241,0.5
hard,2.0,2,0.07264624939644962,0.2315004386833509,0.6157193921610806,0.0,0.14529249879289924,0.31682425077358367,0.0
nohealth,2.0,2,-0.12105188299170663,0.1560801058291169,0.3351469968157976,-0.3269735236127672,0.08486975762935393,0.7240457643664611,0.52
full,2.0,3,0.009092947252481009,0.22936308874776923,0.37868803015804775,-0.14719505531633909,0.16538094982130108,0.3213078229153842,0.18
hard,2.0,3,0.09007999332480575,0.2537499982474346,0.5914014242333556,0.0,0.1801599866496115,0.3213078229153842,0.0
nohealth,2.0,3,-0.09582177303062081,0.23009548199259777,0.28752518057591736,-0.3320206521900412,0.1403771061287995,0.7325091520447032,0.44
full,2.0,4,-0.043926356605856254,0.25688730453614783,0.36624137055389294,-0.25248717923779307,0.1646344660260805,0.36807036336773774,0.24
