scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,moead-cl,20,0,150.0,180.0,220.0,thermal,6,0.7,399.0,517.0,29.57393483709273,0,53,53,100.0,2,560.7736999991175,1106.0628999985056,8000,440.0,5,None,1,0.5983055239609855,10
compound,EHCO,21,0,150.0,180.0,220.0,thermal,6,0.7,337.0,1176.0,248.96142433234422,0,53,53,100.0,3,116.97999999887543,471.3913000014145,28000,450.0,5,None,1,0.5584464908981258,10
compound,A*-GA,21,0,150.0,180.0,220.0,thermal,6,0.7,304.0,1173.0,285.85526315789474,0,53,53,100.0,0,,0.0,0,429.0,0,None,1,0.558395044936409,10
compound,noFLC,21,0,150.0,180.0,220.0,thermal,6,0.7,337.0,1278.0,279.2284866468843,0,53,53,100.0,3,114.76340000081109,588.4614999995392,28000,450.0,5,None,1,0.5583145206702155,10
compound,moead-cl,21,0,150.0,180.0,220.0,thermal,6,0.7,337.0,676.0,100.59347181008901,0,53,53,100.0,3,568.9378999995824,3894.2744999985734,28000,437.0,3,None,1,0.571545744501327,10
compound,EHCO,22,0,150.0,180.0,220.0,thermal,6,0.7,344.0,624.0,81.3953488372093,0,53,53,100.0,3,117.16030000025057,588.8840000006894,28000,444.0,5,None,1,0.5747122128161355,10
compound,A*-GA,22,0,150.0,180.0,220.0,thermal,6,0.7,307.0,1222.0,298.04560260586317,0,53,53,100.0,0,,0.0,0,438.0,3,None,1,0.55834402632192,10
compound,noFLC,22,0,150.0,180.0,220.0,thermal,6,0.7,344.0,621.0,80.52325581395348,0,53,53,100.0,3,112.61300000114716,591.8011000030674,28000,444.0,5,None,1,0.5747122128161355,10
compound,moead-cl,22,0,150.0,180.0,220.0,thermal,6,0.7,344.0,604.0,75.5813953488372,0,53,53,100.0,3,548.5059000020556,3899.8301999999967,28000,444.0,5,None,1,0.5747122128161355,10
compound,EHCO,23,0,150.0,180.0,220.0,thermal,6,0.7,357.0,1182.0,231.0924369747899,0,53,53,100.0,3,120.60310000015306,627.5476999981038,28000,448.0,6,None,1,0.5583619579909647,10
compound,A*-GA,23,0,150.0,180.0,220.0,thermal,6,0.7,319.0,1080.0,238.5579937304075,0,53,53,100.0,0,,0.0,0,457.0,9,None,1,0.5584906771696218,10
compound,noFLC,23,0,150.0,180.0,220.0,thermal,6,0.7,357.0,929.0,160.22408963585434,0,53,53,100.0,3,117.50319999919157,600.4197000002023,28000,448.0,6,None,1,0.5590942859627158,10
compound,moead-cl,23,0,150.0,180.0,220.0,thermal,6,0.7,357.0,651.0,82.35294117647058,0,53,53,100.0,3,547.8940000029979,3847.1855000025243,28000,448.0,6,None,1,0.5665519929310494,10
compound,EHCO,24,0,150.0,180.0,220.0,thermal,6,0.7,275.0,581.0,111.27272727272728,0,53,53,100.0,3,107.57620000003953,456.9904000018141,28000,432.0,3,None,1,0.5747255249455528,10
compound,A*-GA,24,0,150.0,180.0,220.0,thermal,6,0.7,293.0,1409.0,380.8873720136519,0,53,53,100.0,0,,0.0,0,443.0,5,None,1,0.5582848889124477,10
compound,noFLC,24,0,150.0,180.0,220.0,thermal,6,0.7,275.0,635.0,130.9090909090909,0,53,53,100.0,3,108.08490000272286,586.7180000022927,28000,432.0,3,None,1,0.5660741855808322,10
compound,moead-cl,24,0,150.0,180.0,220.0,thermal,6,0.7,275.0,602.0,118.90909090909092,0,53,53,100.0,2,544.1032999988238,1098.623999998381,8000,432.0,3,None,1,0.5981939043801993,10
