scenario,strategy,seed,instance,f1_base,f1_event,deg_pct,warn_t,min_h,n_replans
congestion,nocostadapt,15,0,369.0,665.0,80.21680216802169,None,0.6567795572230546,1
congestion,nocostadapt,16,0,300.0,553.0,84.33333333333334,None,0.6515183657685731,1
congestion,nocostadapt,17,0,391.0,557.0,42.45524296675192,None,0.668754299900119,1
congestion,nocostadapt,18,0,428.0,601.0,40.42056074766355,None,0.6732802459087991,1
congestion,nocostadapt,19,0,308.0,636.0,106.49350649350649,None,0.6601360959240796,1
congestion,nocostadapt,20,0,399.0,555.0,39.097744360902254,None,0.6535272127801496,1
congestion,nocostadapt,21,0,337.0,725.0,115.13353115727003,None,0.6399027442480135,1
congestion,nocostadapt,22,0,344.0,673.0,95.63953488372093,None,0.6569171680075749,1
congestion,nocostadapt,23,0,357.0,608.0,70.30812324929971,None,0.6498557237208815,1
congestion,nocostadapt,24,0,275.0,677.0,146.1818181818182,None,0.6628786034138912,1
congestion,nocostadapt,25,0,356.0,527.0,48.03370786516854,None,0.6688972447278684,1
congestion,nocostadapt,26,0,285.0,585.0,105.26315789473684,None,0.6907665137812132,1
congestion,nocostadapt,27,0,473.0,612.0,29.38689217758985,None,0.6523172460183795,1
congestion,nocostadapt,28,0,335.0,708.0,111.34328358208955,None,0.6628774802760318,1
congestion,nocostadapt,29,0,348.0,704.0,102.29885057471265,None,0.6538757748853312,1
congestion,nocostadapt,30,0,302.0,719.0,138.0794701986755,None,0.6624803365202037,1
congestion,nocostadapt,1,1,316.0,743.0,135.126582278481,None,0.6746156365805812,1
congestion,nocostadapt,2,1,325.0,562.0,72.92307692307692,None,0.6717653497498774,1
congestion,nocostadapt,3,1,307.0,841.0,173.9413680781759,None,0.6493902430789963,1
congestion,nocostadapt,4,1,394.0,557.0,41.370558375634516,None,0.6460764589994827,1
congestion,nocostadapt,5,1,334.0,512.0,53.293413173652695,None,0.683272167630283,1
congestion,nocostadapt,6,1,297.0,591.0,98.98989898989899,None,0.6703231090825115,1
congestion,nocostadapt,7,1,355.0,629.0,77.1830985915493,None,0.6611118334918303,1
congestion,nocostadapt,8,1,350.0,596.0,70.28571428571428,None,0.6707836379562531,1
congestion,nocostadapt,9,1,373.0,583.0,56.30026809651475,None,0.6509967260136836,1
congestion,nocostadapt,10,1,284.0,524.0,84.50704225352112,None,0.6757036552304666,1
congestion,nocostadapt,11,1,321.0,480.0,49.532710280373834,None,0.6645266089780819,1
congestion,nocostadapt,12,1,313.0,653.0,108.62619808306708,None,0.6749965992847633,1
congestion,nocostadapt,13,1,312.0,699.0,124.03846153846155,None,0.6571731625412031,1
congestion,nocostadapt,14,1,280.0,620.0,121.42857142857142,None,0.6376201702518928,1
congestion,nocostadapt,15,1,369.0,894.0,142.27642276422765,None,0.661233358713396,1
congestion,nocostadapt,16,1,300.0,599.0,99.66666666666667,None,0.640631458204757,1
congestion,nocostadapt,17,1,391.0,401.0,2.557544757033248,None,0.6712798239041853,1
congestion,nocostadapt,18,1,428.0,616.0,43.925233644859816,None,0.6668010922611936,1
congestion,nocostadapt,19,1,308.0,482.0,56.493506493506494,None,0.6599450637296712,1
congestion,nocostadapt,20,1,399.0,426.0,6.7669172932330826,None,0.6896171024565425,1
congestion,nocostadapt,21,1,337.0,879.0,160.83086053412464,None,0.6627763242424153,1
congestion,nocostadapt,22,1,344.0,722.0,109.88372093023256,None,0.6671612847652532,1
congestion,nocostadapt,23,1,357.0,717.0,100.84033613445378,None,0.6356191515609348,1
congestion,nocostadapt,24,1,275.0,1107.0,302.54545454545456,None,0.6627633659234315,1
congestion,nocostadapt,25,1,356.0,694.0,94.9438202247191,None,0.6555981783834527,1
congestion,nocostadapt,26,1,285.0,479.0,68.0701754385965,None,0.6898089879871365,1
congestion,nocostadapt,27,1,473.0,695.0,46.93446088794926,None,0.6632377273653537,1
congestion,nocostadapt,28,1,335.0,685.0,104.4776119402985,None,0.671000370717192,1
congestion,nocostadapt,29,1,348.0,585.0,68.10344827586206,None,0.6862075018252745,1
congestion,nocostadapt,30,1,302.0,609.0,101.65562913907284,None,0.6834379706839762,1
congestion,nocostadapt,1,2,316.0,385.0,21.835443037974684,None,0.7226799599702927,1
congestion,nocostadapt,2,2,325.0,406.0,24.923076923076923,None,0.7113351229818654,1
congestion,nocostadapt,3,2,307.0,356.0,15.960912052117262,None,0.7115451908754067,1
congestion,nocostadapt,4,2,394.0,416.0,5.583756345177665,None,0.7035821524650162,1
congestion,nocostadapt,5,2,334.0,500.0,49.700598802395206,None,0.7134409730053878,1
congestion,nocostadapt,6,2,297.0,317.0,6.7340067340067336,None,0.7080408298984385,1
congestion,nocostadapt,7,2,355.0,391.0,10.140845070422536,None,0.7017779326268059,1
congestion,nocostadapt,8,2,350.0,429.0,22.57142857142857,None,0.685335493343994,1
congestion,nocostadapt,9,2,373.0,513.0,37.533512064343164,None,0.7032074878794922,1
congestion,nocostadapt,10,2,284.0,325.0,14.43661971830986,None,0.7358708923314827,0
congestion,nocostadapt,11,2,321.0,437.0,36.13707165109034,None,0.6956517060552817,0
congestion,nocostadapt,12,2,313.0,373.0,19.169329073482427,None,0.7038574265935771,0
congestion,nocostadapt,13,2,312.0,384.0,23.076923076923077,None,0.6947102142884168,1
congestion,nocostadapt,14,2,280.0,315.0,12.5,None,0.7241163527631317,0
congestion,nocostadapt,15,2,369.0,494.0,33.87533875338754,None,0.6936743602530641,1
congestion,nocostadapt,16,2,300.0,376.0,25.333333333333336,None,0.7092744615283489,1
congestion,nocostadapt,17,2,391.0,313.0,-19.948849104859335,None,0.7074617658729545,1
congestion,nocostadapt,18,2,428.0,398.0,-7.009345794392523,None,0.7060589908469842,1
congestion,nocostadapt,19,2,308.0,369.0,19.805194805194805,None,0.7094066946522237,0
congestion,nocostadapt,20,2,399.0,405.0,1.5037593984962405,None,0.7068868947914727,1
congestion,nocostadapt,21,2,337.0,426.0,26.409495548961427,None,0.6896828598529458,1
congestion,nocostadapt,22,2,344.0,446.0,29.651162790697676,None,0.7013759286609387,1
congestion,nocostadapt,23,2,357.0,523.0,46.49859943977591,None,0.6614546141101795,1
congestion,nocostadapt,24,2,275.0,302.0,9.818181818181818,None,0.7145257586739991,1
congestion,nocostadapt,25,2,356.0,426.0,19.662921348314608,None,0.7064409406649689,1
congestion,nocostadapt,26,2,285.0,329.0,15.43859649122807,None,0.7470819754590073,0
congestion,nocostadapt,27,2,473.0,446.0,-5.708245243128964,None,0.7227849654755226,1
congestion,nocostadapt,28,2,335.0,461.0,37.61194029850746,None,0.686021503623783,1
congestion,nocostadapt,29,2,348.0,376.0,8.045977011494253,None,0.7137780839178427,1
congestion,nocostadapt,30,2,302.0,378.0,25.165562913907287,None,0.7264007353936149,0
congestion,nocostadapt,1,3,316.0,446.0,41.139240506329116,None,0.6852206220187059,1
congestion,nocostadapt,2,3,325.0,526.0,61.846153846153854,None,0.6801484860736988,1
congestion,nocostadapt,3,3,307.0,528.0,71.9869706840391,None,0.7063787653258944,1
congestion,nocostadapt,4,3,394.0,528.0,34.01015228426396,None,0.7030130844406299,1
congestion,nocostadapt,5,3,334.0,517.0,54.79041916167665,None,0.6996874971992852,1
congestion,nocostadapt,6,3,297.0,468.0,57.57575757575758,None,0.7076313816836202,1
congestion,nocostadapt,7,3,355.0,434.0,22.253521126760564,None,0.6902881540286286,1
congestion,nocostadapt,8,3,350.0,392.0,12.0,None,0.6984901444839228,1
congestion,nocostadapt,9,3,373.0,557.0,49.32975871313673,None,0.6659152695793527,1
congestion,nocostadapt,10,3,284.0,472.0,66.19718309859155,None,0.6890652296233145,1
congestion,nocostadapt,11,3,321.0,462.0,43.925233644859816,None,0.6986483488404799,1
congestion,nocostadapt,12,3,313.0,398.0,27.15654952076677,None,0.7062562666805339,1
congestion,nocostadapt,13,3,312.0,610.0,95.51282051282051,None,0.6963116651265896,1
congestion,nocostadapt,14,3,280.0,485.0,73.21428571428571,None,0.6751146309429727,1
congestion,nocostadapt,15,3,369.0,490.0,32.79132791327913,None,0.6840121119451583,1
congestion,nocostadapt,16,3,300.0,515.0,71.66666666666667,None,0.6710410878102987,1
congestion,nocostadapt,17,3,391.0,569.0,45.52429667519181,None,0.682938562934613,1
congestion,nocostadapt,18,3,428.0,530.0,23.83177570093458,None,0.6883120933101666,1
congestion,nocostadapt,19,3,308.0,381.0,23.7012987012987,None,0.6935491503427424,1
congestion,nocostadapt,20,3,399.0,431.0,8.020050125313283,None,0.7068868947914727,1
congestion,nocostadapt,21,3,337.0,456.0,35.311572700296736,None,0.6895070472629582,1
congestion,nocostadapt,22,3,344.0,467.0,35.75581395348838,None,0.6944658332823139,1
congestion,nocostadapt,23,3,357.0,459.0,28.57142857142857,None,0.682918137861565,1
congestion,nocostadapt,24,3,275.0,569.0,106.9090909090909,None,0.6717170889045054,1
congestion,nocostadapt,25,3,356.0,431.0,21.06741573033708,None,0.6871966771668439,1
congestion,nocostadapt,26,3,285.0,418.0,46.666666666666664,None,0.7087801448558667,1
congestion,nocostadapt,27,3,473.0,526.0,11.20507399577167,None,0.6876953963507597,1
congestion,nocostadapt,28,3,335.0,606.0,80.8955223880597,None,0.6944485373319703,1
congestion,nocostadapt,29,3,348.0,496.0,42.5287356321839,None,0.677926931023332,1
congestion,nocostadapt,30,3,302.0,429.0,42.05298013245033,None,0.6890998518518547,1
congestion,nocostadapt,1,4,316.0,466.0,47.46835443037975,None,0.688781683782852,1
congestion,nocostadapt,2,4,325.0,542.0,66.76923076923077,None,0.6895448732143373,1
congestion,nocostadapt,3,4,307.0,468.0,52.44299674267101,None,0.7006846090221768,1
congestion,nocostadapt,4,4,394.0,444.0,12.690355329949238,None,0.6856692673293203,1
congestion,nocostadapt,5,4,334.0,527.0,57.784431137724546,None,0.6965264903533002,1
congestion,nocostadapt,6,4,297.0,541.0,82.15488215488216,None,0.6979853086067654,1
congestion,nocostadapt,7,4,355.0,421.0,18.591549295774648,None,0.6900943400962638,1
congestion,nocostadapt,8,4,350.0,564.0,61.142857142857146,None,0.6842027937879959,1
congestion,nocostadapt,9,4,373.0,478.0,28.150134048257375,None,0.7023709016426577,1
congestion,nocostadapt,10,4,284.0,426.0,50.0,None,0.6799297032051882,1
congestion,nocostadapt,11,4,321.0,599.0,86.6043613707165,None,0.6868213300388658,1
congestion,nocostadapt,12,4,313.0,566.0,80.83067092651757,None,0.6812723562667456,1
congestion,nocostadapt,13,4,312.0,413.0,32.371794871794876,None,0.7070273059996245,1
congestion,nocostadapt,14,4,280.0,503.0,79.64285714285714,None,0.6913003521176558,1
congestion,nocostadapt,15,4,369.0,491.0,33.06233062330624,None,0.6951535921275137,1
congestion,nocostadapt,16,4,300.0,505.0,68.33333333333333,None,0.6801641180306943,1
congestion,nocostadapt,17,4,391.0,533.0,36.31713554987212,None,0.6971720731944201,1
congestion,nocostadapt,18,4,428.0,475.0,10.981308411214954,None,0.7116249950992248,1
congestion,nocostadapt,19,4,308.0,410.0,33.116883116883116,None,0.706751855106473,1
congestion,nocostadapt,20,4,399.0,560.0,40.35087719298245,None,0.6939117756859075,1
congestion,nocostadapt,21,4,337.0,486.0,44.21364985163205,None,0.6784386554411875,1
congestion,nocostadapt,22,4,344.0,484.0,40.69767441860465,None,0.7201693407692124,1
congestion,nocostadapt,23,4,357.0,592.0,65.82633053221288,None,0.6734714137889221,1
congestion,nocostadapt,24,4,275.0,480.0,74.54545454545455,None,0.7051393421998283,1
congestion,nocostadapt,25,4,356.0,412.0,15.730337078651685,None,0.6871435176860675,1
congestion,nocostadapt,26,4,285.0,432.0,51.578947368421055,None,0.7112493836334322,1
congestion,nocostadapt,27,4,473.0,489.0,3.382663847780127,None,0.6883335548845579,1
congestion,nocostadapt,28,4,335.0,528.0,57.611940298507456,None,0.6843438130079841,1
congestion,nocostadapt,29,4,348.0,401.0,15.229885057471265,None,0.7083956566944536,1
congestion,nocostadapt,30,4,302.0,447.0,48.01324503311258,None,0.694868859398544,1
compound,nocostadapt,1,0,316.0,833.0,163.60759493670886,443.0,0.5982766860322513,3
compound,nocostadapt,2,0,325.0,673.0,107.07692307692307,430.0,0.5864795967129817,3
compound,nocostadapt,3,0,307.0,713.0,132.24755700325733,437.0,0.58365634341213,3
compound,nocostadapt,4,0,394.0,746.0,89.34010152284264,454.0,0.5648770969865866,3
compound,nocostadapt,5,0,334.0,1402.0,319.7604790419162,449.0,0.5583064030130414,3
compound,nocostadapt,6,0,297.0,573.0,92.92929292929293,432.0,0.5980915080445189,3
compound,nocostadapt,7,0,355.0,773.0,117.74647887323944,439.0,0.5899316479465356,3
compound,nocostadapt,8,0,350.0,963.0,175.14285714285714,447.0,0.558798345870501,3
