variant,seed,agv,soh,task_count,band
GA-SA-multiSoH,7,9,0.9967,5,high
GA-SA-multiSoH,8,0,0.7724,5,low
GA-SA-multiSoH,8,1,0.7771,5,low
GA-SA-multiSoH,8,2,0.7554,5,low
GA-SA-multiSoH,8,3,0.7582,5,low
GA-SA-multiSoH,8,4,0.9441,6,high
GA-SA-multiSoH,8,5,0.8269,4,mid
GA-SA-multiSoH,8,6,0.7768,4,low
GA-SA-multiSoH,8,7,0.8773,7,mid
GA-SA-multiSoH,8,8,0.8813,5,mid
GA-SA-multiSoH,8,9,0.8941,4,mid
GA-SA-multiSoH,9,0,0.8455,3,mid
GA-SA-multiSoH,9,1,0.7195,5,low
GA-SA-multiSoH,9,2,0.7017,4,low
GA-SA-multiSoH,9,3,0.9492,5,high
GA-SA-multiSoH,9,4,0.995,6,high
GA-SA-multiSoH,9,5,0.9354,5,high
GA-SA-multiSoH,9,6,0.7947,5,low
GA-SA-multiSoH,9,7,0.9116,6,high
GA-SA-multiSoH,9,8,0.7898,6,low
GA-SA-multiSoH,9,9,0.9222,5,high
GA-SA-multiSoH,10,0,0.9476,5,high
GA-SA-multiSoH,10,1,0.8015,5,mid
GA-SA-multiSoH,10,2,0.8727,4,mid
GA-SA-multiSoH,10,3,0.926,6,high
GA-SA-multiSoH,10,4,0.9481,3,high
GA-SA-multiSoH,10,5,0.98,5,high
GA-SA-multiSoH,10,6,0.7435,6,low
GA-SA-multiSoH,10,7,0.9237,6,high
GA-SA-multiSoH,10,8,0.7418,5,low
GA-SA-multiSoH,10,9,0.972,5,high
GA-SA-multiSoH,11,0,0.8107,5,mid
GA-SA-multiSoH,11,1,0.8534,5,mid
GA-SA-multiSoH,11,2,0.8989,7,mid
GA-SA-multiSoH,11,3,0.7826,4,low
GA-SA-multiSoH,11,4,0.7414,5,low
GA-SA-multiSoH,11,5,0.9364,5,high
GA-SA-multiSoH,11,6,0.9011,6,high
GA-SA-multiSoH,11,7,0.8537,4,mid
GA-SA-multiSoH,11,8,0.945,3,high
GA-SA-multiSoH,11,9,0.8647,6,mid
GA-SA-multiSoH,12,0,0.7008,5,low
GA-SA-multiSoH,12,1,0.8624,6,mid
GA-SA-multiSoH,12,2,0.7321,5,low
GA-SA-multiSoH,12,3,0.7774,5,low
GA-SA-multiSoH,12,4,0.8251,6,mid
GA-SA-multiSoH,12,5,0.8361,4,mid
GA-SA-multiSoH,12,6,0.8404,4,mid
GA-SA-multiSoH,12,7,0.9783,6,high
GA-SA-multiSoH,12,8,0.7776,6,low
GA-SA-multiSoH,12,9,0.7564,3,low
GA-SA-multiSoH,13,0,0.7859,6,low
GA-SA-multiSoH,13,1,0.9441,5,high
GA-SA-multiSoH,13,2,0.7247,3,low
GA-SA-multiSoH,13,3,0.8315,4,mid
GA-SA-multiSoH,13,4,0.9453,6,high
GA-SA-multiSoH,13,5,0.8226,5,mid
GA-SA-multiSoH,13,6,0.8553,5,mid
GA-SA-multiSoH,13,7,0.7351,7,low
GA-SA-multiSoH,13,8,0.9442,4,high
GA-SA-multiSoH,13,9,0.8494,5,mid
GA-SA-multiSoH,14,0,0.9239,4,high
GA-SA-multiSoH,14,1,0.7191,5,low
GA-SA-multiSoH,14,2,0.8941,4,mid
GA-SA-multiSoH,14,3,0.9208,4,high
GA-SA-multiSoH,14,4,0.8196,4,mid
GA-SA-multiSoH,14,5,0.8522,6,mid
GA-SA-multiSoH,14,6,0.7686,5,low
GA-SA-multiSoH,14,7,0.8951,6,mid
GA-SA-multiSoH,14,8,0.9914,6,high
GA-SA-multiSoH,14,9,0.7896,6,low
GA-SA-multiSoH,15,0,0.9344,5,high
