variant,seed,lam,f1,f2,delta_h_mean,delta_h_max,gini_delta_h,h_end_min,h_end_mean
Full,4,2.0,506.3333333333334,3945.307130590085,0.07561137301768892,0.25186392591109497,0.409460673753937,0.42438481003338674,0.688992196559358
-health,4,0.0,388.0,2337.6755039600016,-0.004097344921294382,0.2370886067757897,0.24594480723970613,0.7330836635039737,0.7687009144983412
-health,4,1.0,388.0,2337.6755039600016,0.0006291087546490048,0.23761403232132283,0.2463476808440026,0.7313561950081793,0.763974460822398
-health,4,2.0,388.0,2337.6755039600016,0.00535556243059197,0.23813945786685675,0.2474658045039877,0.7296287265123848,0.7592480071464548
hard-only,4,0.0,355.3333333333333,2787.097956823597,-0.0037052949097504837,0.21598472564171178,0.2600108300663191,0.7300278848466981,0.7683088644867974
hard-only,4,1.0,355.3333333333333,2787.097956823597,0.0013046459907222585,0.21646058090784492,0.2625505985824528,0.7198984244793942,0.7632989235863247
hard-only,4,2.0,355.3333333333333,2787.097956823597,0.00631458689119509,0.21693643617397806,0.26520494848310117,0.7097689641120911,0.7582889826858518
Full,5,0.0,577.0,4281.2591661090955,0.01781695877305941,0.24332718437621825,0.4034035446441959,0.3425618990706392,0.6784419428890005
Full,5,1.0,577.0,4281.2591661090955,0.021746270673608726,0.24377117119431557,0.3973022978257228,0.3425618990706392,0.6745126309884512
Full,5,2.0,577.0,4281.2591661090955,0.025675582574157595,0.244215158012412,0.3925474243831204,0.3425618990706392,0.6705833190879024
-health,5,0.0,368.0,2241.3517889450013,-0.05816120998597758,0.22079063836078727,0.36918212494004155,0.7238757792040776,0.7544201116480376
-health,5,1.0,368.0,2241.3517889450013,-0.05143553125201208,0.22118763019424537,0.37182205310578986,0.7210310387585668,0.747694432914072
-health,5,2.0,368.0,2241.3517889450013,-0.04470985251804616,0.2215846220277048,0.37637611548901706,0.715591926642164,0.7409687541801061
hard-only,5,0.0,376.0,2953.9853107669596,-0.060803750404695614,0.16898997729264476,0.34289347640967516,0.7219717490334739,0.7570626520667555
hard-only,5,1.0,376.0,2953.9853107669596,-0.05393364565128107,0.17185864807946705,0.3346561005493811,0.7178822793720114,0.750192547313341
hard-only,5,2.0,376.0,2953.9853107669596,-0.04706354089786634,0.1747273188662909,0.32604191238892444,0.7071085101254013,0.7433224425599263
Full,6,0.0,676.3333333333334,4388.667658972635,-0.08527690178660122,0.27387706918749377,0.25142026768873094,0.638622654807095,0.7380545807198949
Full,6,1.0,676.3333333333334,4388.667658972635,-0.08149580957560215,0.2742885452950974,0.2451134274188589,0.6377485588768604,0.7342734885088958
Full,6,2.0,676.3333333333334,4388.667658972635,-0.07771471736460334,0.27470002140270033,0.239285337583226,0.6368744629466253,0.730492396297897
-health,6,0.0,303.0,2135.290888344352,-0.11155306053687267,0.22548179691583392,0.31562324929363506,0.7363470409985952,0.7643307394701664
-health,6,1.0,303.0,2135.290888344352,-0.10398613414325811,0.22581202924693422,0.30630981543125246,0.7326488409975155,0.7567638130765518
-health,6,2.0,303.0,2135.290888344352,-0.09641920774964337,0.22614226157803496,0.2965645828177186,0.7227059561921823,0.749196886682937
