scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,A*-GA,46,0,150.0,180.0,220.0,thermal,6,0.7,297.0,825.0,177.77777777777777,0,53,53,100.0,0,,0.0,0,456.0,3,None,1,0.5602079273595841,10
compound,noFLC,46,0,150.0,180.0,220.0,thermal,6,0.7,300.0,860.0,186.66666666666666,0,53,53,100.0,3,120.5325000009907,633.7746000026527,28000,457.0,1,None,1,0.5596413028995749,10
compound,moead-cl,46,0,150.0,180.0,220.0,thermal,6,0.7,300.0,650.0,116.66666666666667,0,53,53,100.0,3,549.6406000020215,3882.1997999984887,28000,437.0,4,587.0,1,0.585489020561992,10
compound,EHCO,47,0,150.0,180.0,220.0,thermal,6,0.7,312.0,988.0,216.66666666666666,0,53,53,100.0,3,127.32859999960056,680.8854999981122,28000,443.0,4,976.0,1,0.5614723303704388,10
compound,A*-GA,47,0,150.0,180.0,220.0,thermal,6,0.7,313.0,1744.0,457.188498402556,0,53,53,100.0,0,,0.0,0,447.0,9,None,1,0.5581404253241875,10
compound,noFLC,47,0,150.0,180.0,220.0,thermal,6,0.7,312.0,662.0,112.17948717948718,0,53,53,100.0,3,125.13810000018566,685.8152000022528,28000,443.0,4,None,1,0.5666536999567966,10
compound,moead-cl,47,0,150.0,180.0,220.0,thermal,6,0.7,312.0,1107.0,254.8076923076923,0,53,53,100.0,3,562.2335000007297,3861.9202000008954,28000,443.0,4,None,1,0.5585301909437712,10
compound,EHCO,48,0,150.0,180.0,220.0,thermal,6,0.7,315.0,620.0,96.82539682539682,0,53,53,100.0,3,131.96979999702307,536.1678999979631,28000,441.0,1,None,1,0.574020752675195,10
compound,A*-GA,48,0,150.0,180.0,220.0,thermal,6,0.7,308.0,1217.0,295.12987012987014,0,53,53,100.0,0,,0.0,0,452.0,9,None,1,0.5583307319462488,10
compound,noFLC,48,0,150.0,180.0,220.0,thermal,6,0.7,315.0,638.0,102.53968253968253,0,53,53,100.0,3,123.66339999789489,649.1249999962747,28000,441.0,1,631.0,1,0.574020752675195,10
compound,moead-cl,48,0,150.0,180.0,220.0,thermal,6,0.7,315.0,629.0,99.68253968253968,0,53,53,100.0,3,549.0700000009383,3835.9041000003344,28000,441.0,1,None,1,0.574020752675195,10
compound,EHCO,49,0,150.0,180.0,220.0,thermal,6,0.7,310.0,607.0,95.80645161290322,0,53,53,100.0,3,122.835699999996,524.6254999983648,28000,458.0,1,None,1,0.5879949302501316,10
compound,A*-GA,49,0,150.0,180.0,220.0,thermal,6,0.7,302.0,1342.0,344.3708609271523,0,53,53,100.0,0,,0.0,0,451.0,5,None,1,0.5582251360536435,10
compound,noFLC,49,0,150.0,180.0,220.0,thermal,6,0.7,310.0,579.0,86.7741935483871,0,53,53,100.0,3,118.34610000005341,528.554600001371,28000,458.0,1,None,1,0.5879949302501316,10
compound,moead-cl,49,0,150.0,180.0,220.0,thermal,6,0.7,310.0,587.0,89.35483870967742,0,53,53,100.0,3,559.3547999997099,3853.149400001712,28000,458.0,1,None,1,0.5879949302501316,10
compound,EHCO,50,0,150.0,180.0,220.0,thermal,6,0.7,348.0,1006.0,189.08045977011494,0,53,53,100.0,2,135.8749999999418,265.51459999973304,8000,440.0,5,None,1,0.5587086929886519,10
compound,A*-GA,50,0,150.0,180.0,220.0,thermal,6,0.7,299.0,1256.0,320.066889632107,0,53,53,100.0,0,,0.0,0,447.0,9,None,1,0.5583037397655265,10
compound,noFLC,50,0,150.0,180.0,220.0,thermal,6,0.7,348.0,1276.0,266.66666666666663,0,53,53,100.0,3,128.5439999992377,524.3534999972326,28000,440.0,5,None,1,0.5583410549630409,10
compound,moead-cl,50,0,150.0,180.0,220.0,thermal,6,0.7,348.0,650.0,86.7816091954023,0,53,53,100.0,3,543.6397000012221,3905.0460000071325,28000,440.0,5,None,1,0.568189628043076,10
compound,EHCO,51,0,150.0,180.0,220.0,thermal,6,0.7,282.0,531.0,88.29787234042553,0,53,53,100.0,2,123.62919999941369,238.73549999916577,8000,434.0,0,None,1,0.5771681221433113,10
