scenario,strategy,beta,seed,instance,t_inj,fault_type,f1_base,f1_event,deg_pct,timeout,response_ms,warn_t,lead_time,warn_agv,detected,false_pos,maint_enter,min_h,replan_applied
fault,EHCO,0.0005,23,4,64.21579955915043,vibration,357.0,407.0,14.005602240896359,0,447.99889999922016,197.0,132.7842004408496,0,1,0,None,0.3982315698648868,1
fault,EHCO,0.0005,24,4,64.21579955915043,vibration,275.0,501.0,82.18181818181817,0,405.86940000139293,204.0,139.7842004408496,4,1,0,None,0.36590413543429795,1
fault,EHCO,0.0005,25,4,64.21579955915043,vibration,356.0,390.0,9.550561797752808,0,415.81829999995534,202.0,137.7842004408496,2,1,0,None,0.4098014708993002,1
fault,EHCO,0.0005,26,4,64.21579955915043,vibration,285.0,312.0,9.473684210526317,0,384.86809999812976,209.0,144.7842004408496,2,1,0,262.0,0.5015635640693229,1
fault,EHCO,0.0005,27,4,64.21579955915043,vibration,473.0,369.0,-21.987315010570825,0,482.8955000011774,185.0,120.78420044084957,1,1,0,232.0,0.4445091950693454,1
fault,EHCO,0.0005,28,4,64.21579955915043,vibration,335.0,335.0,0.0,0,464.93439999903785,203.0,138.7842004408496,8,1,0,246.0,0.46048014308014096,1
fault,EHCO,0.0005,29,4,64.21579955915043,vibration,348.0,354.0,1.7241379310344827,0,382.78229999923497,213.0,148.7842004408496,9,1,0,328.0,0.4713589421196797,1
fault,EHCO,0.0005,30,4,64.21579955915043,vibration,302.0,377.0,24.834437086092713,0,410.8678999982658,206.0,141.7842004408496,7,1,0,362.0,0.4696151449104358,1
fault,EHCO,0.002,1,0,200.0,thermal,316.0,411.0,30.063291139240505,0,,424.0,224.0,3,1,0,None,0.5998974299642724,0
fault,EHCO,0.002,2,0,200.0,thermal,325.0,325.0,0.0,0,,430.0,230.0,5,1,0,None,0.5997560177761547,0
fault,EHCO,0.002,3,0,200.0,thermal,307.0,324.0,5.537459283387622,0,,414.0,214.0,3,1,0,None,0.5998563968371357,0
fault,EHCO,0.002,4,0,200.0,thermal,394.0,394.0,0.0,0,,429.0,229.0,7,1,0,None,0.599759428303611,0
fault,EHCO,0.002,5,0,200.0,thermal,334.0,334.0,0.0,0,,424.0,224.0,3,1,0,None,0.5999846251336015,0
fault,EHCO,0.002,6,0,200.0,thermal,297.0,313.0,5.387205387205387,0,,433.0,233.0,3,1,0,None,0.5998555393470834,0
